title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"Band Night for TELL Vol. 6 - Four Venues, Twenty-Four Bands",2014-05-24,Alternative,,,,,,,,
"tsucchi-kucchi from teasikutibiru, Rie Goto＝Regina (SunanekoQueen)",2014-05-24,Other,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
"Jessca Lynn Loosbrock, Andrew Tyrone Rodgers, Cornered Men, The Trap Stars, Omen",2014-05-24,Mixed Genre,Papera,http://currypapera.moo.jp/papelive/forfm.html,"Shinjuku Seven Building, 2-8-1 Shinjuku-ku",http://currypapera.moo.jp/access.html,Shinjuku Gyoenmae,Shinjuku Gyoenmae (Marunouchi line),,FREE (with 1 order)
"笑天, 彗星, 赤若＋jun, worstvision",2014-05-24,Jam,,,,,,,2500,2500
"Jason Kahn, Carl Stone, Makoto Oshiro, Madoka Kouno",2014-05-24,Improvised,Nanahari,http://www.ftftftf.com,"Oriental Bldg. B1, 2-7-1 Shinkawa, Chuo-ku",,Hatchobori,Hatchobori,2000,2000
"Jason Kahn, Carl Stone, Makoto Oshiro, Madoka Kouno",2014-05-24,Experimental,Nanahari,http://www.ftftftf.com,"Oriental Bldg. B1, 2-7-1 Shinkawa, Chuo-ku",,Hatchobori,Hatchobori,,"2,000JPY BYO"
1.2.3.4 Fuck Off! Count 27,2014-05-25,Grindcore,Suizokkan,http://naks.biz/suizokukan/,"1-10-7-B1 Hyakuninchou,Shinjuku-ku, Tokyo",http://naks.biz/suizokukan/map/index.html,Shin-Okubo,Near Shin-Okubo station (JR Yamanote Line),,
GREENROOM FESTIVAL '14,2014-05-25,Festival,,,,,,,,
"Improvisation music for sculpture: Kei Takasugi, Manabu Hashimoto",2014-05-25,Art,,,,,,,"¥2,000","¥2,000"
"te_ri, Harada Jin",2014-05-25,Alternative,,,,,,,2000,2300
"Kihafaces featuring Zainichi Funk Horns, GELLERS, GEZAN",2014-05-25,Alternative,Garden,http://www.gar-den.in,"Mosia B1F, Kitazawa 2-4-5, Setagaya-ku",,Shimokitazawa,Shimokitazawa,¥2800,¥3300
COALTAR OF THE DEEPERS,2014-05-25,Shoegaze,Loft,http://www.loft-prj.co.jp/LOFT/index.html,"Tatehana Building, B2 1-12-9 kabukicho, Shinjuku",http://www.loft-prj.co.jp/LOFT/access.html,Shinjuku,Shinjuku,3500,4000
"What Is Tango?!: Melt, F.L.Y., ●子は,今, Lima Tango!!, 輿石バッキー智弘/熊坂路得子 duo",2014-05-25,Experimental,Knuttel House,http://www.knuttelhouse.com/,"4-1-8 Matsugaya, Taito-ku, Tokyo",,Iriya,"Iriya, Uguisudani, Asakusa, Tawaramachi",,2500
"Nakanomaru, Bevel & Emboss, How to count planets",2014-05-25,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
"NOBARA, Hour Musik, broken little sister, calm weather grass court, sjue",2014-05-25,Shoegaze,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,2000,2500
