title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
cruyff in the bedroom,2018-08-31,Shoegaze,Club Que,http://www.ukproject.com/que/index.html,"BigBen Building B2F, 2-5-2 Kitazawa",http://www.ukproject.com/que/access/,Shimokitazawa,Shimokitazawa,3000 / 4000 with T-Shirt,3500
"Miya (Flute), Maki Hachiya (Voice), Raiga Hayashi (Drums)",2018-10-10,Improvised,Kissa Sakaiki,http://sakaiki.modalbeats.com/,"Shinjuku-ku ,Daikyo-cho, 2-4 Yotsuya 3-chome, 1F",,Yotsuya Sanchome,Yotsuya-Sanchome,"¥3,000","¥3,500"
"Shak Keiji, SOUNDTRACK 66",2018-08-31,"Acoustic,Rock n Roll",Nepal Restaurant & Bar KUMARIMAA,http://kumarimaa.com/,"5-6-12, Osaki, Shinagawa-ku, Tokyo",http://kumarimaa.com/about,Gotanda,"Gotanda, Osaki",1500,1500
"KO.DO.NA, Electric power music, Miki Naoe, Yui Murata",2018-10-10,"Alternative,Avant garde,Avant-pop,Noise",Gari Gari,http://www.cinemabokan.com,"Tobita Bldg B1, Daizawa 2-45-9 , Setagaya-ku",,Ikenoue,Ikenoue,,Free (1 drink order)
"YO LA TENGO, Shintaro Sakamoto",2018-10-11,Indie,O-East,http://www.shibuya-o.com,"2F 2-14-9 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,Sold out!,
Tahiti 80,2018-10-11,Indie-Pop,DUO Music Exchange,http://www.duomusicexchange.com,"2-14-8 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,7000,
the heiz,2018-10-11,"Punk,Rock n Roll",Marble,http://marble-web.jp,"Shinjuku Just Bldg B1F, 2-45-2 Kabukicho, Shinjuku",,Shinjuku,Shinjuku,2000,2500
"these three (Yasuhiro Usui, Takashi Miyamoto, Shiro Onuma), Yumiko Yoshimoto + Michio Karimata",2018-10-11,"Improvised,Free Jazz,Experimental,Avant garde",Knuttel House,http://www.knuttelhouse.com/,"4-1-8 Matsugaya, Taito-ku, Tokyo",,Iriya,"Iriya, Uguisudani, Asakusa, Tawaramachi",,"2,000yen + drink"
Sam Smith,2018-10-12,"Pop,R n B,Soul",Saitama Super Arena,http://www.saitama-arena.co.jp,"8 Shintoshin, Chūō-ku, Saitama-shi",http://www.saitama-arena.co.jp/access/,Saitama,"Saitama Shintoshin, Kitayono","S Seat 12000, A Seat 10000, Gold Seat 24000",
"ARCANA (Yohei Yamashita, Eri Uenoyama, Natsuki Kido)",2018-10-12,"Acoustic,Folk,Instrumental,Latin",Goodstock Tokyo,http://goodstock-tokyo.com/,"B1, 3-20-8, Kitasenzoku, Ota-ku, Tokyo",,Ookayama,Ōokayama,"¥2,500 (+ order)","¥3,000 (+ order)"
"Creep Down, Sexo, Akito Nagaoka, UNCLOSE, Grey Area, Katie Ryan, The Spilt ink",2018-10-12,"Rock,Rock n Roll,Shibuya-kei,Shoegaze,Ska",NOB,http://nobparty.web.fc2.com,"Maruyamacho 1-3 BF, Shibuya-ku",,Shibuya,Shibuya,,"1,000YEN"
"Junju Hirose & Elizabeth Millar (Canada), Toshimaru Nakamura & Craig Pedersen (Canada)",2018-10-12,"Experimental,Improvised",Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome",,2000円
"KITSUNE FRIDAYS MEAT FESTIVAL: DJs KENTARO TAKIZAWA, GRVYRDS, more",2018-08-31,"DJ,House",Kitsune,http://www.kitsune-web.jp,"Chatelet Shibuya B1F, 2-20-13 Higashi, Shibuya-ku",,Shibuya,Shibuya or Ebisu,,
Salad Mechael Tommy ok a Silk-mill Group,2018-08-31,"Abstract,Art-Pop,Avant-pop,Experimental,Psych-Folk",Shichoushitsu Sono 3,http://shicho.org/,"5-195 Chojamachi, Nakaku, Yokohama",http://shicho.org/s3access/,"Hinodecho, Yokohama",Hinodecho station on Keihin Kyuko Line.,,donation + 2 order
" YASO N°8: Mahaya Takara, Yusuke Kawamura, Takuma Hosoya",2018-08-31,"Abstract,Avant garde,Experimental,Improvised,Unclassifiable",Flying Teapot,http://flyingteapot1997.wixsite.com/ekoda-flying-teapot,"Enomoto Bldg B1F, 27-7 Sakae-cho, Nerima-ku",,Ekoda,Ekoda,,"¥1,500 + order"
"Matilda Andersson (voice), Adrian Åsling Sellius (sax), Hiroki Chiba (bass)",2018-08-31,Improvised,Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip (for musicians 1000yen~) + drink order, bar charge (800yen)"
"King Goblin, Praymate, Darklaw, Kei Kobayashi, maki, Fujichaku",2018-08-31,"Alternative,Death Metal,DJ,Experimental,Noise",Forestlimit,http://forestlimit.com/fl/,"B1F Hatagaya KODA Bldg, 2-8-15 Hatagaya, Shibuyaku",,Hatagaya,Hatagaya,,1500 jpy (incld 1 drink)
Mystery Meat Vol. 63: Kaki Gory,2018-08-31,"DJ,Garage Rock,Punk,Rock n Roll,Soul",Beat Cafe,https://www.facebook.com/beatcafe,"2-13-5-B1, Dogenzaka, Shibuya-ku",,Shibuya,"Shibuya, Shinsen",,Free
"R+R=NOW, Cornelius",2018-09-01,"Electronic Rock,Jazz",NHK Hall,http://www.nhk-sc.or.jp/nhk_hall,"2-2-1, Jinnan, Shibuya",http://www.nhk-sc.or.jp/nhk_hall/access.html,Shibuya,"Harajuku, Yoyogi-koen, Shibuya",From 3800,
"Creep Down, MARLA, Midnight Snakes, RIL, Jeremy, AMPCHARWAR, Urchin Pace, Impure Blood, more",2018-09-01,"Rock,Rock n Roll,Shibuya-kei,Shoegaze,Ska",NOB,http://nobparty.web.fc2.com,"Maruyamacho 1-3 BF, Shibuya-ku",,Shibuya,Shibuya,,
"Native Sound Launch Party: HMLT, Amiide, Phil So Good, more",2018-09-01,R n B,Ruby Room,http://www.rubyroomtokyo.com,"2F Kasumi Bldg, Dogenzaka 2-25-17, Shibuya",,Shibuya,Shibuya,,
