title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"Daisuke Okochi, amamori, Taiga Yamazaki",2019-04-10,"Acoustic,Indie,Pop",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2000 + drink (500)
"Loui Lerroy, Haruka, Takumi Ito",2019-03-09,Improvised,OTOOTO,http://www.otooto.jp/,"B1, 3-13-10 Kitazawa, Setagayaku",https://goo.gl/maps/B3yidmfNBgx,Higashi Kitazawa,Higashi-Kitazawa (3 min walk),,"¥2,000 w/ 1 free drink"
Wild Nothing,2019-04-05,Dream-pop,WWW X,http://www-shibuya.jp/wwwx/,"2F Rise Bldg, 13-17 Udagawacho, Shibuya-ku",,Shibuya,Shibuya,5500,
"Miu Mau, Kate Sikora, Transkam, Come To My Party, DJs mariekko, GET! WILD BØY (from JEBIOTTO)",2019-02-23,"Dream-pop,Indie-Pop,New Wave,Post-Rock",Green Apple,http://www.greenapple.gr.jp,"Koenji-Minami 4-9-6 2F, Suginami-ku, Tokyo",http://www.greenapple.gr.jp/access.html,Koenji,Koenji,,¥1500 + 1 drink
Masaki Yoshihisa (guitar),2019-02-23,"Instrumental,Acoustic,Improvised,Jazz",Violon ,http://meikyoku-kissa-violon.com,"Suginami-ku Asagaya-Kita 2-9-5, Tokyo",,Asagaya,J.R. Asagaya station,,"1,000 yen (inc. coffee or orange juice) no alcohol"
Doronco + Mako Hasegawa + Mitsuru Tabata + Chiyo Kamekawa,2019-02-23,"Psychedelic,Psych-Folk",harness,http://livebarharness.web.fc2.com/,"2-18-9-B1, Asagayaminami, Suginami, Tokyo",http://livebarharness.web.fc2.com/map.html,Asagaya,Asagaya,,¥2500 + drink
"0奏: Koba, Yoshitaka Shirakura, Nobuki Nishiyama, Hiroaki Maki",2019-02-23,"Avant garde,Electronic,Experimental,Noise,Techno",Soup,http://ochiaisoup.tumblr.com/,"B1F Mitaka Building 3-9-10 Kami-Ochiai,Shinjuku-ku",,Ochiai,"Ochiai, Higashi-Nakano, Nakai","1,500yen","1,500yen"
YOUNG TOKYO FESTIVAL,2019-03-02,"Festival,Hip-Hop,R n B",Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,,
"PORNOSTATE, END ALL, Japanese Folk Metal, Strange",2019-02-16,Metal,Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku",¥2500,¥3000
"WE ARE ASIA Vol. 2: BB Chill, 飛飛, DJ AYAM, DJ DIX",2019-02-08,"Acoustic,All Mix,Electro-Pop,Indie-Pop,World",SUBstore Koenji,http://substore.jimdo.com/,"3-1-12 Koenji Kita, Suginami-ku, Tokyo",https://www.google.co.jp/maps/place/S・U・B+STORE+TOKYO/,Koenji,Koenji,¥1000 (1 drink付き),¥1000 (1 drink付き)
"NEUROSIS, CONVERGE, ENDON, SELF DECONSTRUCTION",2019-02-16,"Doom,Grindcore,Hardcore,Metal",O-East,http://www.shibuya-o.com,"2F 2-14-9 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,9000,
"the heiz, ザ・オールオーケーズ, Virgin Crab Band, Leroy, HOT DOG BUDDY BUDDY",2019-01-30,"Garage Rock,Punk,Rock n Roll",JAM,http://jam.rinky.info,"B1F, Eifuku 3-34-14, Suginamiku, Tokyo",http://jam.rinky.info/access/,Nishieifuku,Nishieifuku,2000,2500
復活Punchセッション 第10回,2019-01-30,"Blues,Funk,Open Mic,R n B,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"¥1,500 + 1 Drink Minimum"
Ryosuke Kiyasu,2019-01-23,"Avant garde,Free Jazz,Improvised,Jazz,Noise",Flying Teapot,http://flyingteapot1997.wixsite.com/ekoda-flying-teapot,"Enomoto Bldg B1F, 27-7 Sakae-cho, Nerima-ku",,Ekoda,Ekoda,,2000yen + 1 drink
Natsuki Kido (Acoustic Guitar) Solo,2019-01-23,"Acoustic,Avant garde,Improvised,Instrumental,Progressive",lete,http://www.l-ete.jp,"Daizawa 5-33-3, Setagaya-ku",,Shimokitazawa,,"¥2,300 (+ order)","¥2,600 (+ order)"
サンガツ (Sangatsu),2019-01-23,Post-Rock,WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,4000,4500
"Kyoko Kuroda, Natsuki Kido",2019-01-17,"Acoustic,Instrumental,Jazz",Mandala 1,http://www.mandala.gr.jp/man1.html,"1-5-2 Minamicho, Kichijoji, Musashino-shi, Tokyo",,Kichijoji,Kichijoji,"¥3,000 (+ order)","¥3,300 (+ order)"
Junji Hirose + Darren Moore + Toshimaru Nakamura,2018-12-15,Improvised,Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome","2,000 yen","2,000 yen"
Tokyo Jokeyo Open Mic comedy night,2019-01-17,Comedy,,,,,,,,FREE
"Hoimi (Miho, Eko, Rika, Chikusa, Yumiko), kuukanneko",2019-01-17,"Avant garde,Experimental,Improvised,Jam,Rock",Art Bar Ten (天),http://asagaya-ten.com/,Asagaya-kita 2-1-5 B1F,http://asagaya-ten.com/access.html,Asagaya,Asagaya,,1000 (+ order)
"THE POT-HEALERS, Mitsuru Tabata + Tetsuya Kaneko, 20 GUILDERS SPACE ROCK ENSEMBLE",2018-12-15,"Art-Pop,DJ,Neo-psychedelia,Progressive,Psychedelic",Bonobo,http://bonobo.jp/,2-23-4 Jingumae Shibuya-ku Tokyo,http://bonobo.jp/map.php,Harajuku,"Harajuku, Meijijingumae, Sendagaya, Gaienmae",,2000円 w/ 1 drink
"NEIGHBORS, Pinch of Snuff, LOS TEQUILA COKES, DRUNKBIRDS, HUB, BOBBY'S BAR",2018-12-16,"Garage Rock,Rock n Roll",Pit Bar,http://ameblo.jp/pitbar,"3-14-10 B1F Nishiogi Minami, Suginami-ku",,Nishi-Ogikubo,Nishi-Ogikubo,"¥2,000","¥2,300"
"leroy, Achin', theChunleez, the Memphis Bell, carions, Naomiz",2018-12-16,"Indie-Rock,Alternative,Blues,Garage Rock,Rock n Roll",Wall,http://wall-moonstep.com/wall/index.html,"Parl Bldg B1F, 3-15-8 Nishi-Shinjuku",http://wall-moonstep.com/wall/access.html,Shinjuku,"Shinjuku, Hatsudai, Sangubashi",,FREE
OGRE YOU ASSHOLE,2018-12-16,"Alternative,Indie-Rock",Liquidroom,http://www.liquidroom.net,"3-16-6 Higashi, Shibuya-ku, Tokyo",http://www.liquidroom.net/access/,Ebisu,Ebisu,4000,
"zoobombs, folk enough, bossston cruizing mania, Furate",2018-12-16,"Alternative,Funk,Indie-Rock",Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,2500,2800
Ciara Shaughnessy Band @ Le Petit Debut,2018-12-16,Acoustic,,,,,,,,
Derek Short Groove Jam Session,2018-12-16,"Blues,Funk,Open Mic,R n B,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"￥1,500 + 1 Drink Minimum"
"Kokichi Yanagisawa (guitar), Tokutaro Hosoi (guitar), Yumiko Yoshimoto (guitar, daxophone)",2018-12-16,"Avant garde,Experimental,Improvised",Knuttel House,http://www.knuttelhouse.com/,"4-1-8 Matsugaya, Taito-ku, Tokyo",,Iriya,"Iriya, Uguisudani, Asakusa, Tawaramachi",,"2,000yen + drink"
"Halbach, Justice Christopher, Kamome no Jonathan, La Belle Biologie, Scum 2.1",2018-12-16,"Avant garde,Experimental,Guitar Pop,Improvised,Noise Rock",Sound Studio DOM,http://soundstudiodom.web.fc2.com/,"3F Koenjiminami 4-25-7, Suginami-ku",,Koenji,Koenji,,1500 yen 
Ken Ikeda + Tomoyoshi Date + Toshimaru Nakamura,2018-12-16,Improvised,Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome","2,000 yen","2,000 yen"
"#STDRUMS, A perfect day for apple deer, gloptin, Søren Høi, Bucket Drummer MASA",2018-12-17,Mixed Genre,Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku","￥2,500 + 1D","￥3,000 + 1D"
King Crimson,2018-12-17,"Progressive,Art,Rock",Bunkamura Orchard Hall,http://www.bunkamura.co.jp/orchard,"Bunkamura, Shibuya",,Shibuya,,"SS Seat 20000, S Seat 16000",
DYGL,2018-12-17,"Indie,Indie-Pop,Rock",Liquidroom,http://www.liquidroom.net,"3-16-6 Higashi, Shibuya-ku, Tokyo",http://www.liquidroom.net/access/,Ebisu,Ebisu,3500,
"Takao Watanabe, Natsuki Kido, Takashi Seo, Yoshihito Eto",2018-12-17,"Improvised,Instrumental,Jazz",cooljojo,http://www.cooljojo.tokyo/,"B1F, 2-16-16 Yawata, Ichikawa-shi, Chiba",,Motoyawata,"Motoyawata, Keisei-Yawata",,"¥3,000 (+order)"
The Weeknd,2018-12-18,"Pop,R n B",Makuhari Messe,http://www.m-messe.co.jp,"2-1 Nakase, Mihama-ku, Chiba",https://www.m-messe.co.jp/access/,Makuhari,Kaihin-Makuhari,"Rear Standing 8800, S Reserved Seat 12000, VIP Seats 24000 or 48000",
"Masaki Yoshihisa (g), Akiko Maeda (p)",2018-12-17,Jazz,Violon ,http://meikyoku-kissa-violon.com,"Suginami-ku Asagaya-Kita 2-9-5, Tokyo",,Asagaya,J.R. Asagaya station,,"1,000 yen"
"cinema staff, tricot",2018-12-18,"Alternative,Math-Rock,Rock",Fever,http://www.fever-popo.com,"Shin-daita building 1F, 1-1-14 Hanegi, Setagaya-ku",http://www.fever-popo.com/access/,Shimokitazawa,Shindaita,4000,4500
King Crimson,2018-12-18,"Art,Progressive,Rock",Bunkamura Orchard Hall,http://www.bunkamura.co.jp/orchard,"Bunkamura, Shibuya",,Shibuya,,"SS Seat 20000, S Seat 16000",
Free Improv Jam Session with Fumito Sugo + Hisaharu Teruuchi ,2018-12-18,"Avant garde,Experimental,Free Jazz,Improvised,Jam",Cafe 52,http://www.cafe52nerima.com/,"Toyotamakita 6-14-3, Nerima-ku",,Nerima,練馬駅 (Nerima),¥1500,¥1500
"Duo in Prose & Quintet: GUMI, Schrodinger Scat, hello hello John × Kidoura Koichi, 420",2018-12-18,"Improvised,Instrumental,Free Jazz,Experimental,Avant garde",Art Bar Ten (天),http://asagaya-ten.com/,Asagaya-kita 2-1-5 B1F,http://asagaya-ten.com/access.html,Asagaya,Asagaya,,"1,000yen + drink"
LP Band Jam Session,2018-12-19,"Blues,Funk,Open Mic,R n B,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"￥1,500 + 1 Drink Minimum"
"cruyff in the bedroom, slololis, KURAGE-KEIKAKU, Chaton on the Note, Grizzly on the Planet, more",2018-12-19,"Alternative,Dream-pop,Shoegaze",Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku","￥2,500 + 1D ￥500","￥3,000 + 1D ￥500"
JanMah Shimamura Guitar Experience Project,2018-12-19,"Acoustic,Electronic,Experimental,Improvised,Instrumental",810 OUTFIT café ,http://810.chikura.org/,"Kyonan-cho 2-8-6-103, Musashino City, Tokyo",https://goo.gl/maps/tfB1UsDocKM2,Musashi Sakai,Musashi Sakai Station (JR Chuo Line),,"1,500yen (inc 2 drink) + 1,000yen"
"TWINKLOOP, Doctors Of Madness (UK), Richard Strange, Sister Paul, Masami Kawaguchi, more",2018-12-19,"Punk,Rock",Zone-B,http://zone-b.jp,新宿区喜久井町２番地 APAビルB-1 & B-2,,Waseda,,3000,3000
Sunny Day Service,2018-12-19,"Alternative,Guitar Pop,Indie-Pop",Liquidroom,http://www.liquidroom.net,"3-16-6 Higashi, Shibuya-ku, Tokyo",http://www.liquidroom.net/access/,Ebisu,Ebisu,4000,
"KEN MATSUTANI AND..., Majutsu no niwa",2018-12-19,Psychedelic,Club Doctor,http://www.clubdoctor.co.jp,"Kamiogi 1-16-10 B1, Suginami-ku",,Ogikubo,Ogikubo,2000,2500
鳴らした場合 (narashitabaai) × 20GUILDERS,2018-12-19,Psychedelic,Enban,http://enbanschedule.blogspot.jp,2F 3-59-11 Koenji-Minami,,Koenji,Koenji,"¥1,500（One drink free）","¥1,500（One drink free）"
"Hoiming Vol. 2 - Hoimi, Hajikiya, Epiterics",2018-12-19,"Experimental,Improvised,Instrumental,Jam,Rock",Art Bar Ten (天),http://asagaya-ten.com/,Asagaya-kita 2-1-5 B1F,http://asagaya-ten.com/access.html,Asagaya,Asagaya,,"1,000yen + drink"
"Udo Moll + Takefumi Kobayashi duo, Tetuzi Akiyama + Yoko Ikeda + Makoto Oshiro trio",2018-12-19,"Experimental,Improvised",Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome",,
"SETE STAR SEPT, MANIA ORGAN, BLACK PHONE666, CDR ",2018-12-19,"Grindcore,Hardcore,Metal,Noise,Punk",Suizokkan,http://naks.biz/suizokukan/,"1-10-7-B1 Hyakuninchou,Shinjuku-ku, Tokyo",http://naks.biz/suizokukan/map/index.html,Shin-Okubo,Near Shin-Okubo station (JR Yamanote Line),2000yen,2000yen
"細井徳太郎 (gt), 津上研太 (sax), 高橋佑成 (pf), 瀬尾高志 (b), 林頼我 (ds)",2018-12-19,"Free Jazz,Improvised,Jazz",Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip (for musicians 1000yen~) + drink order, bar charge (800yen)"
"Kiyasu Orchestra, Ädriel (from USA), Rubi Roppssa, UNRUCH, 烏山",2018-12-20,"Avant garde,Electronic,Hip-Hop,Jazz,Noise",Art Bar Ten (天),http://asagaya-ten.com/,Asagaya-kita 2-1-5 B1F,http://asagaya-ten.com/access.html,Asagaya,Asagaya,,¥2000 + 1 drink
"Table, Sheeps Be, CLASICKS, Stomatitis",2018-12-20,"Alternative,Indie-Rock,Pop-punk",Pit Bar,http://ameblo.jp/pitbar,"3-14-10 B1F Nishiogi Minami, Suginami-ku",,Nishi-Ogikubo,Nishi-Ogikubo,"¥1,000","¥1,500"
松井宏樹 (sax) & 魚返明未 (piano) with 本田珠也 (drums),2018-12-20,Jazz,Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip (for musicians 1000yen~) + drink order, bar charge (800yen)"
Giacomo Merega,2018-12-20,"Experimental,Improvised,Jazz",Permian,http://www.permian.tokyo/,"B1, 3-14-4, Nishigotanda, Shinagawa-ku, Tokyo",,Meguro,"不動前 (Fudō-mae), 目黒 (Meguro)",,"Donation between 1,000 and 2,000yen"
Alan Walker,2018-12-21,"Electro,House",Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,8500,
"DJ3 + MIU, コクーンexs, アジャテ, ラブザビエル",2018-12-21,"Avant garde,Dance,Hip-Hop,Improvised,Mixed Genre",Rinen,http://waseda-rinen.com,"B1F Wasedamachi 74, Shinjuku-ku, Tokyo",,Waseda,Waseda,,2000yen (+ 1d)
"WUUUN, Motomu Miura",2018-12-21,"Electro,Experimental,Improvised,Noise",Fourth Floor,http://fourthfloor.jp,"B1 101, Koenji-Minami 3-38-6, Suginami-ku",,Koenji,Koenji,"¥1,500 + 1 drink (¥500)","¥1,500 + 1 drink (¥500)"
"Giacomo Merega, Junji Hirose, Yoko Ikeda, Ryutaro Endo",2018-12-21,"Acoustic,Avant garde,Experimental,Improvised",Koen-Dori Classics,http://koendoriclassics.com,"Tokyo Yamanote Church Bldg B1, 19-5 Udagawa-cho",,Shibuya,Shibuya,¥2000,¥2500
"Death After Death, plaktilts, LSD, maki, Kei Kobayashi, Chance",2018-12-21,"Noise,Experimental,Electronic,DJ,Alternative",Forestlimit,http://forestlimit.com/fl/,"B1F Hatagaya KODA Bldg, 2-8-15 Hatagaya, Shibuyaku",,Hatagaya,Hatagaya,,1500yen (included 1 drink)
Aaron Choulai (piano) & 松丸契 (saxophone),2018-12-21,Jazz,Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip (for musicians 1000yen~) + drink order, bar charge (800yen)"
"world's end girlfriend, Vampillia, sione (aka 湯川潮音), BOOL, Laxenanchaos, ミソシタ",2018-12-22,"Electronic,Experimental,Other",WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,3900,4400
Frank The Band,2018-12-22,Rock,What the Dickens,http://www.whatthedickens.jp,"Roob6 Bldg 4F, 1-13-3 Ebisu-Nishi",,Ebisu,Ebisu,,Free
"sassya-, Muscoh, Yosohayoso, MUSQIS, UZU",2018-12-22,"Hardcore,Industrial,Instrumental,Progressive,Psychedelic",Meets,http://meets.rinky.info,Minami-Otsuka 3-50-1,,Otsuka,Otsuka,￥1800,￥2100
"Adrena Adrena (UK), Taro Aiko (ENDON), THE EARTH TEMPLE, Concierto de la Familia, HUH, Oqysy",2018-12-22,"Alternative,Electronic,Experimental,Noise,Noise Rock",Soup,http://ochiaisoup.tumblr.com/,"B1F Mitaka Building 3-9-10 Kami-Ochiai,Shinjuku-ku",,Ochiai,"Ochiai, Higashi-Nakano, Nakai",,"2,000 yen (+ 1 drink)"
"Parfum Kyodo Xmas Party: Bloodline, Soul Confidence, Open Mic & Session",2018-12-22,"Blues,Funk,R n B,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"￥3,000"
"サボテンレーダー, VARRISPEEDS, 俺はこんなもんじゃない",2018-12-22,"Avant garde,Experimental,Hip-Hop,Jazz,Rock",velvetsun,http://www.velvetsun.jp,"Sunrize Bldg 1F, 3-47-21 Ogikubo, Suginami-ku",http://www.velvetsun.jp/about/,Ogikubo,Ogikubo,,2000yen + tax (+ 1d)
"Yusuke Morishita (trumpet) + TOMO (hurdy gurdy) + entée (piano, double reeds)",2018-12-22,"Avant garde,Improvised,Unclassifiable",Violon ,http://meikyoku-kissa-violon.com,"Suginami-ku Asagaya-Kita 2-9-5, Tokyo",,Asagaya,J.R. Asagaya station,,"1,000yen (including soft drink)"
"Porta Chiusa (Hans Koch, Michael Thieke, Paed Conca), Toshimaru Nakamura, Tetuzi Akiyama ",2018-12-22,"Experimental,Improvised",Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome",,"2,000 yen"
"Buffalo Daughter, the hatch",2019-01-17,"Electronic Rock,Indie-Rock,Krautrock",Fever,http://www.fever-popo.com,"Shin-daita building 1F, 1-1-14 Hanegi, Setagaya-ku",http://www.fever-popo.com/access/,Shimokitazawa,Shindaita,3300,
"Luby Sparks, Say Sue Me ",2019-01-17,Indie-Rock,WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,3000,4000
hachidori amita =4go with Satoshi Osuga @ Shisui Deux Otsuka,2019-01-18,"Chanson,Folk,Performance,World",,,,,,,,Tipping
Derek Short Groove Jam Session,2019-01-18,"Jam,Funk,Open Mic,R n B,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"¥1,500 + 1 Drink Minimum"
"ARCANA (Yohei Yamashita, Eri Uenoyama, Natsuki Kido)",2019-01-18,"Acoustic,Folk,Instrumental,Latin",Sound Creek Doppo,https://doppodoppo.wixsite.com/soundcreekdoppo,"B1F, 1-2 Saneicho, Shinjuku-ku, Tokyo",,Yotsuya,Yotsuya,"¥2,800 (+ order)","¥3,300 (+ order)"
"NECRO-E, CONFUSED MIND, Kandarivas, Corbata",2019-01-18,"Death Metal,Grindcore,Metal",Pit Bar,http://ameblo.jp/pitbar,"3-14-10 B1F Nishiogi Minami, Suginami-ku",,Nishi-Ogikubo,Nishi-Ogikubo,"¥1,500","¥1,800"
"youpy + Satoshi Kanda, Léo Dupleix + Makoto Oshiro, Yui Nakamura + Mitsuru Tokisato, more",2019-01-18,"Experimental,Avant garde,Improvised,Performance,WTF?",Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,¥1500,¥1500
Urban:Dentist (from Sweden),2019-01-18,"Avant garde,Experimental,Free Jazz,Funk,Improvised",Jazz Spot Candy,http://blog.livedoor.jp/jazzspotcandy/,"3-10-12 Inage-Higashi, Inage-ku, Chiba",,"Inage, Chiba","Inage, Keisei-Inage","3,500yen","4,000yen"
"勝井祐二 (violin), ルイ・リロイ (guitar), 石原雄治 (drums)",2019-01-18,"Improvised,Minimal,Noise",Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Donation for musicians ¥1,000~ + drink order, bar charge (¥800)"
"Will & The Hi-Rollers (LA), Elvis Cantu (LA), the Downbeats (LA), Stompin' Riffraffs, more",2019-01-18,"Garage Rock,Punk,R n B,Rock,Rock n Roll",Heavy Sick,http://www.heavysick.co.jp/club/index.html,"Nishihara 2-27-4 B1, Shibuya-ku",,Hatagaya,Hatagaya,"3,000 +1D","3,500 +1D"
"La Musica 3: SUKISHA, The Years, Otaka Kenji, Hum Hum Sandwich",2019-01-18,"Acoustic,DJ,Electro,Folk,Soul",,,,,,,1000 yen + 1 drink to purchase,1000 yen + 1 drink to purchase
Gainsbourg Night 2019,2019-01-19,"Alternative,Chanson,Dance,Emo,World",Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,3500,4000
Open Mic Night Players,2019-01-19,Open Mic,The King George,https://www.facebook.com/The-King-George-420759668101593/,"大宮区仲町２丁目５１番地, Saitama-shi, Saitama",https://gmap.jp/shop-6354.html,Omiya,Omiya,,
"AKBK, Napalm Death Is Dead, HUH, FDF, umm, Turbohaler, WestTokyoPanicSyndicate",2019-01-19,"Death Metal,Experimental,Hardcore,Noise,Noise Rock",Kagurane / KGR(n),https://kagurane.com,"B1, TOMOS Bld, 6-48, Kagurazaka, Shinjuku-ku",,Kagurazaka,神楽坂 (Kagurazaka),1500yen (+ 1 drink),2000yen (+ 1 drink)
"Purgist, Maaaa, Astro, Kazumoto Endo, Government Alpha, Linekraft, Spore Spawn, DJ Evil Penguin",2019-01-19,Noise,Soup,http://ochiaisoup.tumblr.com/,"B1F Mitaka Building 3-9-10 Kami-Ochiai,Shinjuku-ku",,Ochiai,"Ochiai, Higashi-Nakano, Nakai",,2000 yen
"Will & The Hi-Rollers (LA), Elvis Cantu (LA), the Downbeats (LA), The Blue Stars",2019-01-19,"R n B,Punk,Garage Rock,Rock,Rock n Roll",Green Apple,http://www.greenapple.gr.jp,"Koenji-Minami 4-9-6 2F, Suginami-ku, Tokyo",http://www.greenapple.gr.jp/access.html,Koenji,Koenji,"3,000 + 1D","3,500 + 1D"
"HIKASHU, Polysics, Zombie-Chang",2018-12-23,"Avant-pop,New Wave",Unit,http://www.unit-tokyo.com,"Za House Buil. 1-34-17 Ebisu-nishi, Shibuya-ku",,Daikanyama,"Daikanyama, Nakameguro, Ebisu",5000,
"SHIBUYA INTERNATIONAL: DJs A-Killah, Yuri Nagahori, jbradz, more",2018-12-22,DJ,Kitsune,http://www.kitsune-web.jp,"Chatelet Shibuya B1F, 2-20-13 Higashi, Shibuya-ku",,Shibuya,Shibuya or Ebisu,,
"Orangey, Tennis Club, Mana Hardcore, Eversong, Oyajis, Stephen Martin",2018-12-23,"Acoustic,Alternative,Art-Pop,Indie,Mixed Genre",Papera,http://currypapera.moo.jp/papelive/forfm.html,"Shinjuku Seven Building, 2-8-1 Shinjuku-ku",http://currypapera.moo.jp/access.html,Shinjuku Gyoenmae,Shinjuku Gyoenmae (Marunouchi line),,Free
"sugar plant, tenniscoats, Kazuhide Yamaji",2018-12-23,"Avant-pop,Dream-pop,Post-Rock,Psych-Folk",Basement Bar,http://www.toos.co.jp,"5-18-1-B1F, Daizawa, Setagaya-ku",,Shimokitazawa,Shimokitazawa,3000,3500
80KIDZ XMAS ’18,2018-12-23,"Dance,Electro,Electronic",Womb,http://www.womb.co.jp,"Studio Arias, 2-16 Maruyama-cho, Shibuya",,Shibuya,Shibuya,3500,4000
te',2018-12-23,"Math-Rock,Post-Rock",O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,4000,
"NOY, ENSLAVE, WRONG STATE, nervous light of sunday",2018-12-23,Hardcore,Dues,http://dues-shinjuku.diskunion.net/,BF 3-28-4 Shinjuku,,Shinjuku,Shinjuku,,
"Takehiko Nakamura, Yoshiharu Hiramoto, Marcos Fernandes",2018-12-23,Experimental,Kobitosan,http://www.maroon.dti.ne.jp/okeydokey/,"Yoshinocho 3-16, Nakaku, Yokohama",,"Yoshinkocho, Yokohama",Yoshinocho,,2000 w/ drink
Free Our Mind,2019-01-19,"Avant garde,Experimental,Free Jazz,Improvised",810 OUTFIT café ,http://810.chikura.org/,"Kyonan-cho 2-8-6-103, Musashino City, Tokyo",https://goo.gl/maps/tfB1UsDocKM2,Musashi Sakai,Musashi Sakai Station (JR Chuo Line),,"1,500 inc 2 drink"
"Korekyojinn (Natsuki Kido, Mitsuru Nasuno, Tatsuya Yoshida) + Kiyomi Otaka",2019-01-19,"Avant garde,Instrumental,Progressive",plus eleven,https://www.pluseleven-ageo.com/,"1-2-15, Nakacho, Ageo-shi, Saitama",https://www.pluseleven-ageo.com/map,Ageo,Ageo,,"¥3,800 (+ order)"
"Ken Ikeda and Takahiro Kawaguchi duo, Chihei Hatakeyama solo",2018-12-23,"Experimental,Improvised",Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome",,
